Bracket,Year,burden_category,County,value
Total,2014,,Hillsborough County,207582
Less than 10.0 percent,2014,not_burdened,Hillsborough County,5563
10.0 to 14.9 percent,2014,not_burdened,Hillsborough County,13868
15.0 to 19.9 percent,2014,not_burdened,Hillsborough County,23778
20.0 to 24.9 percent,2014,not_burdened,Hillsborough County,26209
25.0 to 29.9 percent,2014,not_burdened,Hillsborough County,24169
30.0 to 34.9 percent,2014,burdened,Hillsborough County,16609
35.0 to 39.9 percent,2014,burdened,Hillsborough County,14144
40.0 to 49.9 percent,2014,burdened,Hillsborough County,19944
50.0 percent or more,2014,burdened,Hillsborough County,53219
Not computed,2014,not_computed,Hillsborough County,10079
Total,2015,,Hillsborough County,216517
Less than 10.0 percent,2015,not_burdened,Hillsborough County,6494
10.0 to 14.9 percent,2015,not_burdened,Hillsborough County,12962
15.0 to 19.9 percent,2015,not_burdened,Hillsborough County,26290
20.0 to 24.9 percent,2015,not_burdened,Hillsborough County,25448
25.0 to 29.9 percent,2015,not_burdened,Hillsborough County,23399
30.0 to 34.9 percent,2015,burdened,Hillsborough County,21276
35.0 to 39.9 percent,2015,burdened,Hillsborough County,15149
40.0 to 49.9 percent,2015,burdened,Hillsborough County,21030
50.0 percent or more,2015,burdened,Hillsborough County,51668
Not computed,2015,not_computed,Hillsborough County,12801
Total,2016,,Hillsborough County,221635
Less than 10.0 percent,2016,not_burdened,Hillsborough County,5424
10.0 to 14.9 percent,2016,not_burdened,Hillsborough County,14629
15.0 to 19.9 percent,2016,not_burdened,Hillsborough County,26866
20.0 to 24.9 percent,2016,not_burdened,Hillsborough County,31150
25.0 to 29.9 percent,2016,not_burdened,Hillsborough County,24328
30.0 to 34.9 percent,2016,burdened,Hillsborough County,18409
35.0 to 39.9 percent,2016,burdened,Hillsborough County,16623
40.0 to 49.9 percent,2016,burdened,Hillsborough County,19603
50.0 percent or more,2016,burdened,Hillsborough County,51430
Not computed,2016,not_computed,Hillsborough County,13173
Total,2017,,Hillsborough County,219239
Less than 10.0 percent,2017,not_burdened,Hillsborough County,5426
10.0 to 14.9 percent,2017,not_burdened,Hillsborough County,14038
15.0 to 19.9 percent,2017,not_burdened,Hillsborough County,24081
20.0 to 24.9 percent,2017,not_burdened,Hillsborough County,26137
25.0 to 29.9 percent,2017,not_burdened,Hillsborough County,25943
30.0 to 34.9 percent,2017,burdened,Hillsborough County,20906
35.0 to 39.9 percent,2017,burdened,Hillsborough County,13153
40.0 to 49.9 percent,2017,burdened,Hillsborough County,19565
50.0 percent or more,2017,burdened,Hillsborough County,55801
Not computed,2017,not_computed,Hillsborough County,14189
Total,2018,,Hillsborough County,226280
Less than 10.0 percent,2018,not_burdened,Hillsborough County,5609
10.0 to 14.9 percent,2018,not_burdened,Hillsborough County,13676
15.0 to 19.9 percent,2018,not_burdened,Hillsborough County,26003
20.0 to 24.9 percent,2018,not_burdened,Hillsborough County,28972
25.0 to 29.9 percent,2018,not_burdened,Hillsborough County,26254
30.0 to 34.9 percent,2018,burdened,Hillsborough County,19791
35.0 to 39.9 percent,2018,burdened,Hillsborough County,16059
40.0 to 49.9 percent,2018,burdened,Hillsborough County,21092
50.0 percent or more,2018,burdened,Hillsborough County,56506
Not computed,2018,not_computed,Hillsborough County,12318
Total,2019,,Hillsborough County,217313
Less than 10.0 percent,2019,not_burdened,Hillsborough County,5174
10.0 to 14.9 percent,2019,not_burdened,Hillsborough County,14475
15.0 to 19.9 percent,2019,not_burdened,Hillsborough County,24790
20.0 to 24.9 percent,2019,not_burdened,Hillsborough County,27712
25.0 to 29.9 percent,2019,not_burdened,Hillsborough County,25874
30.0 to 34.9 percent,2019,burdened,Hillsborough County,19004
35.0 to 39.9 percent,2019,burdened,Hillsborough County,13083
40.0 to 49.9 percent,2019,burdened,Hillsborough County,20650
50.0 percent or more,2019,burdened,Hillsborough County,52217
Not computed,2019,not_computed,Hillsborough County,14334
Total,2020,,Hillsborough County,219877
Less than 10.0 percent,2020,not_burdened,Hillsborough County,5346
10.0 to 14.9 percent,2020,not_burdened,Hillsborough County,13359
15.0 to 19.9 percent,2020,not_burdened,Hillsborough County,25479
20.0 to 24.9 percent,2020,not_burdened,Hillsborough County,28414
25.0 to 29.9 percent,2020,not_burdened,Hillsborough County,25324
30.0 to 34.9 percent,2020,burdened,Hillsborough County,19973
35.0 to 39.9 percent,2020,burdened,Hillsborough County,15736
40.0 to 49.9 percent,2020,burdened,Hillsborough County,20316
50.0 percent or more,2020,burdened,Hillsborough County,53288
Not computed,2020,not_computed,Hillsborough County,12642
Total,2021,,Hillsborough County,226117
Less than 10.0 percent,2021,not_burdened,Hillsborough County,3865
10.0 to 14.9 percent,2021,not_burdened,Hillsborough County,13152
15.0 to 19.9 percent,2021,not_burdened,Hillsborough County,23114
20.0 to 24.9 percent,2021,not_burdened,Hillsborough County,26911
25.0 to 29.9 percent,2021,not_burdened,Hillsborough County,25294
30.0 to 34.9 percent,2021,burdened,Hillsborough County,21187
35.0 to 39.9 percent,2021,burdened,Hillsborough County,15319
40.0 to 49.9 percent,2021,burdened,Hillsborough County,20142
50.0 percent or more,2021,burdened,Hillsborough County,65263
Not computed,2021,not_computed,Hillsborough County,11870
Total,2022,,Hillsborough County,225878
Less than 10.0 percent,2022,not_burdened,Hillsborough County,3960
10.0 to 14.9 percent,2022,not_burdened,Hillsborough County,14364
15.0 to 19.9 percent,2022,not_burdened,Hillsborough County,19796
20.0 to 24.9 percent,2022,not_burdened,Hillsborough County,27088
25.0 to 29.9 percent,2022,not_burdened,Hillsborough County,25893
30.0 to 34.9 percent,2022,burdened,Hillsborough County,21602
35.0 to 39.9 percent,2022,burdened,Hillsborough County,17575
40.0 to 49.9 percent,2022,burdened,Hillsborough County,20908
50.0 percent or more,2022,burdened,Hillsborough County,60238
Not computed,2022,not_computed,Hillsborough County,14454
Total,2023,,Hillsborough County,233009
Less than 10.0 percent,2023,not_burdened,Hillsborough County,5099
10.0 to 14.9 percent,2023,not_burdened,Hillsborough County,10891
15.0 to 19.9 percent,2023,not_burdened,Hillsborough County,17241
20.0 to 24.9 percent,2023,not_burdened,Hillsborough County,24703
25.0 to 29.9 percent,2023,not_burdened,Hillsborough County,30472
30.0 to 34.9 percent,2023,burdened,Hillsborough County,23784
35.0 to 39.9 percent,2023,burdened,Hillsborough County,18788
40.0 to 49.9 percent,2023,burdened,Hillsborough County,23145
50.0 percent or more,2023,burdened,Hillsborough County,67234
Not computed,2023,not_computed,Hillsborough County,11652
Total,2024,,Hillsborough County,234064
Less than 10.0 percent,2024,not_burdened,Hillsborough County,4749
10.0 to 14.9 percent,2024,not_burdened,Hillsborough County,9474
15.0 to 19.9 percent,2024,not_burdened,Hillsborough County,17183
20.0 to 24.9 percent,2024,not_burdened,Hillsborough County,26186
25.0 to 29.9 percent,2024,not_burdened,Hillsborough County,27113
30.0 to 34.9 percent,2024,burdened,Hillsborough County,24480
35.0 to 39.9 percent,2024,burdened,Hillsborough County,15541
40.0 to 49.9 percent,2024,burdened,Hillsborough County,26908
50.0 percent or more,2024,burdened,Hillsborough County,70796
Not computed,2024,not_computed,Hillsborough County,11634
Total,2014,,Pasco County,52132
Less than 10.0 percent,2014,not_burdened,Pasco County,1013
10.0 to 14.9 percent,2014,not_burdened,Pasco County,3767
15.0 to 19.9 percent,2014,not_burdened,Pasco County,4739
20.0 to 24.9 percent,2014,not_burdened,Pasco County,6783
25.0 to 29.9 percent,2014,not_burdened,Pasco County,5971
30.0 to 34.9 percent,2014,burdened,Pasco County,4498
35.0 to 39.9 percent,2014,burdened,Pasco County,3247
40.0 to 49.9 percent,2014,burdened,Pasco County,5621
50.0 percent or more,2014,burdened,Pasco County,12643
Not computed,2014,not_computed,Pasco County,3850
Total,2015,,Pasco County,57800
Less than 10.0 percent,2015,not_burdened,Pasco County,929
10.0 to 14.9 percent,2015,not_burdened,Pasco County,3931
15.0 to 19.9 percent,2015,not_burdened,Pasco County,6873
20.0 to 24.9 percent,2015,not_burdened,Pasco County,6816
25.0 to 29.9 percent,2015,not_burdened,Pasco County,6200
30.0 to 34.9 percent,2015,burdened,Pasco County,4286
35.0 to 39.9 percent,2015,burdened,Pasco County,5018
40.0 to 49.9 percent,2015,burdened,Pasco County,5841
50.0 percent or more,2015,burdened,Pasco County,12801
Not computed,2015,not_computed,Pasco County,5105
Total,2016,,Pasco County,55068
Less than 10.0 percent,2016,not_burdened,Pasco County,1085
10.0 to 14.9 percent,2016,not_burdened,Pasco County,3824
15.0 to 19.9 percent,2016,not_burdened,Pasco County,5100
20.0 to 24.9 percent,2016,not_burdened,Pasco County,7149
25.0 to 29.9 percent,2016,not_burdened,Pasco County,6194
30.0 to 34.9 percent,2016,burdened,Pasco County,5130
35.0 to 39.9 percent,2016,burdened,Pasco County,4581
40.0 to 49.9 percent,2016,burdened,Pasco County,4785
50.0 percent or more,2016,burdened,Pasco County,13659
Not computed,2016,not_computed,Pasco County,3561
Total,2017,,Pasco County,61744
Less than 10.0 percent,2017,not_burdened,Pasco County,1823
10.0 to 14.9 percent,2017,not_burdened,Pasco County,4624
15.0 to 19.9 percent,2017,not_burdened,Pasco County,8325
20.0 to 24.9 percent,2017,not_burdened,Pasco County,7481
25.0 to 29.9 percent,2017,not_burdened,Pasco County,5953
30.0 to 34.9 percent,2017,burdened,Pasco County,4942
35.0 to 39.9 percent,2017,burdened,Pasco County,4268
40.0 to 49.9 percent,2017,burdened,Pasco County,5425
50.0 percent or more,2017,burdened,Pasco County,14680
Not computed,2017,not_computed,Pasco County,4223
Total,2018,,Pasco County,53804
Less than 10.0 percent,2018,not_burdened,Pasco County,1839
10.0 to 14.9 percent,2018,not_burdened,Pasco County,3709
15.0 to 19.9 percent,2018,not_burdened,Pasco County,5488
20.0 to 24.9 percent,2018,not_burdened,Pasco County,7504
25.0 to 29.9 percent,2018,not_burdened,Pasco County,6229
30.0 to 34.9 percent,2018,burdened,Pasco County,4810
35.0 to 39.9 percent,2018,burdened,Pasco County,4353
40.0 to 49.9 percent,2018,burdened,Pasco County,4994
50.0 percent or more,2018,burdened,Pasco County,11775
Not computed,2018,not_computed,Pasco County,3103
Total,2019,,Pasco County,53471
Less than 10.0 percent,2019,not_burdened,Pasco County,1557
10.0 to 14.9 percent,2019,not_burdened,Pasco County,2717
15.0 to 19.9 percent,2019,not_burdened,Pasco County,7458
20.0 to 24.9 percent,2019,not_burdened,Pasco County,5819
25.0 to 29.9 percent,2019,not_burdened,Pasco County,5370
30.0 to 34.9 percent,2019,burdened,Pasco County,3610
35.0 to 39.9 percent,2019,burdened,Pasco County,4293
40.0 to 49.9 percent,2019,burdened,Pasco County,7750
50.0 percent or more,2019,burdened,Pasco County,11731
Not computed,2019,not_computed,Pasco County,3166
Total,2020,,Pasco County,56077
Less than 10.0 percent,2020,not_burdened,Pasco County,1475
10.0 to 14.9 percent,2020,not_burdened,Pasco County,3370
15.0 to 19.9 percent,2020,not_burdened,Pasco County,6531
20.0 to 24.9 percent,2020,not_burdened,Pasco County,7108
25.0 to 29.9 percent,2020,not_burdened,Pasco County,6760
30.0 to 34.9 percent,2020,burdened,Pasco County,4785
35.0 to 39.9 percent,2020,burdened,Pasco County,4004
40.0 to 49.9 percent,2020,burdened,Pasco County,5524
50.0 percent or more,2020,burdened,Pasco County,13029
Not computed,2020,not_computed,Pasco County,3491
Total,2021,,Pasco County,56859
Less than 10.0 percent,2021,not_burdened,Pasco County,1261
10.0 to 14.9 percent,2021,not_burdened,Pasco County,3429
15.0 to 19.9 percent,2021,not_burdened,Pasco County,4393
20.0 to 24.9 percent,2021,not_burdened,Pasco County,5954
25.0 to 29.9 percent,2021,not_burdened,Pasco County,7520
30.0 to 34.9 percent,2021,burdened,Pasco County,5354
35.0 to 39.9 percent,2021,burdened,Pasco County,4505
40.0 to 49.9 percent,2021,burdened,Pasco County,4986
50.0 percent or more,2021,burdened,Pasco County,15007
Not computed,2021,not_computed,Pasco County,4450
Total,2022,,Pasco County,63133
Less than 10.0 percent,2022,not_burdened,Pasco County,1282
10.0 to 14.9 percent,2022,not_burdened,Pasco County,6424
15.0 to 19.9 percent,2022,not_burdened,Pasco County,5496
20.0 to 24.9 percent,2022,not_burdened,Pasco County,7089
25.0 to 29.9 percent,2022,not_burdened,Pasco County,5880
30.0 to 34.9 percent,2022,burdened,Pasco County,5998
35.0 to 39.9 percent,2022,burdened,Pasco County,3640
40.0 to 49.9 percent,2022,burdened,Pasco County,7724
50.0 percent or more,2022,burdened,Pasco County,16226
Not computed,2022,not_computed,Pasco County,3374
Total,2023,,Pasco County,54444
Less than 10.0 percent,2023,not_burdened,Pasco County,1574
10.0 to 14.9 percent,2023,not_burdened,Pasco County,4108
15.0 to 19.9 percent,2023,not_burdened,Pasco County,5533
20.0 to 24.9 percent,2023,not_burdened,Pasco County,6112
25.0 to 29.9 percent,2023,not_burdened,Pasco County,4790
30.0 to 34.9 percent,2023,burdened,Pasco County,6065
35.0 to 39.9 percent,2023,burdened,Pasco County,3925
40.0 to 49.9 percent,2023,burdened,Pasco County,5825
50.0 percent or more,2023,burdened,Pasco County,12909
Not computed,2023,not_computed,Pasco County,3603
Total,2024,,Pasco County,62171
Less than 10.0 percent,2024,not_burdened,Pasco County,1333
10.0 to 14.9 percent,2024,not_burdened,Pasco County,2486
15.0 to 19.9 percent,2024,not_burdened,Pasco County,6576
20.0 to 24.9 percent,2024,not_burdened,Pasco County,7283
25.0 to 29.9 percent,2024,not_burdened,Pasco County,6508
30.0 to 34.9 percent,2024,burdened,Pasco County,5045
35.0 to 39.9 percent,2024,burdened,Pasco County,3437
40.0 to 49.9 percent,2024,burdened,Pasco County,7938
50.0 percent or more,2024,burdened,Pasco County,17396
Not computed,2024,not_computed,Pasco County,4169
Total,2014,,Pinellas County,150127
Less than 10.0 percent,2014,not_burdened,Pinellas County,3231
10.0 to 14.9 percent,2014,not_burdened,Pinellas County,10923
15.0 to 19.9 percent,2014,not_burdened,Pinellas County,14538
20.0 to 24.9 percent,2014,not_burdened,Pinellas County,17783
25.0 to 29.9 percent,2014,not_burdened,Pinellas County,16348
30.0 to 34.9 percent,2014,burdened,Pinellas County,12970
35.0 to 39.9 percent,2014,burdened,Pinellas County,10205
40.0 to 49.9 percent,2014,burdened,Pinellas County,15457
50.0 percent or more,2014,burdened,Pinellas County,34783
Not computed,2014,not_computed,Pinellas County,13889
Total,2015,,Pinellas County,142005
Less than 10.0 percent,2015,not_burdened,Pinellas County,3521
10.0 to 14.9 percent,2015,not_burdened,Pinellas County,9370
15.0 to 19.9 percent,2015,not_burdened,Pinellas County,17042
20.0 to 24.9 percent,2015,not_burdened,Pinellas County,18338
25.0 to 29.9 percent,2015,not_burdened,Pinellas County,14193
30.0 to 34.9 percent,2015,burdened,Pinellas County,11923
35.0 to 39.9 percent,2015,burdened,Pinellas County,9559
40.0 to 49.9 percent,2015,burdened,Pinellas County,13357
50.0 percent or more,2015,burdened,Pinellas County,34625
Not computed,2015,not_computed,Pinellas County,10077
Total,2016,,Pinellas County,142086
Less than 10.0 percent,2016,not_burdened,Pinellas County,2650
10.0 to 14.9 percent,2016,not_burdened,Pinellas County,9932
15.0 to 19.9 percent,2016,not_burdened,Pinellas County,15598
20.0 to 24.9 percent,2016,not_burdened,Pinellas County,17020
25.0 to 29.9 percent,2016,not_burdened,Pinellas County,18913
30.0 to 34.9 percent,2016,burdened,Pinellas County,12259
35.0 to 39.9 percent,2016,burdened,Pinellas County,10449
40.0 to 49.9 percent,2016,burdened,Pinellas County,13055
50.0 percent or more,2016,burdened,Pinellas County,33699
Not computed,2016,not_computed,Pinellas County,8511
Total,2017,,Pinellas County,133220
Less than 10.0 percent,2017,not_burdened,Pinellas County,3861
10.0 to 14.9 percent,2017,not_burdened,Pinellas County,8508
15.0 to 19.9 percent,2017,not_burdened,Pinellas County,14651
20.0 to 24.9 percent,2017,not_burdened,Pinellas County,15482
25.0 to 29.9 percent,2017,not_burdened,Pinellas County,15499
30.0 to 34.9 percent,2017,burdened,Pinellas County,11757
35.0 to 39.9 percent,2017,burdened,Pinellas County,9605
40.0 to 49.9 percent,2017,burdened,Pinellas County,12657
50.0 percent or more,2017,burdened,Pinellas County,34223
Not computed,2017,not_computed,Pinellas County,6977
Total,2018,,Pinellas County,134550
Less than 10.0 percent,2018,not_burdened,Pinellas County,2577
10.0 to 14.9 percent,2018,not_burdened,Pinellas County,9147
15.0 to 19.9 percent,2018,not_burdened,Pinellas County,11189
20.0 to 24.9 percent,2018,not_burdened,Pinellas County,17424
25.0 to 29.9 percent,2018,not_burdened,Pinellas County,18440
30.0 to 34.9 percent,2018,burdened,Pinellas County,13145
35.0 to 39.9 percent,2018,burdened,Pinellas County,8198
40.0 to 49.9 percent,2018,burdened,Pinellas County,14357
50.0 percent or more,2018,burdened,Pinellas County,32211
Not computed,2018,not_computed,Pinellas County,7862
Total,2019,,Pinellas County,122795
Less than 10.0 percent,2019,not_burdened,Pinellas County,3251
10.0 to 14.9 percent,2019,not_burdened,Pinellas County,6375
15.0 to 19.9 percent,2019,not_burdened,Pinellas County,14178
20.0 to 24.9 percent,2019,not_burdened,Pinellas County,13042
25.0 to 29.9 percent,2019,not_burdened,Pinellas County,17597
30.0 to 34.9 percent,2019,burdened,Pinellas County,10056
35.0 to 39.9 percent,2019,burdened,Pinellas County,8942
40.0 to 49.9 percent,2019,burdened,Pinellas County,13065
50.0 percent or more,2019,burdened,Pinellas County,29320
Not computed,2019,not_computed,Pinellas County,6969
Total,2020,,Pinellas County,131827
Less than 10.0 percent,2020,not_burdened,Pinellas County,3046
10.0 to 14.9 percent,2020,not_burdened,Pinellas County,8478
15.0 to 19.9 percent,2020,not_burdened,Pinellas County,13158
20.0 to 24.9 percent,2020,not_burdened,Pinellas County,15233
25.0 to 29.9 percent,2020,not_burdened,Pinellas County,17167
30.0 to 34.9 percent,2020,burdened,Pinellas County,11889
35.0 to 39.9 percent,2020,burdened,Pinellas County,9294
40.0 to 49.9 percent,2020,burdened,Pinellas County,13401
50.0 percent or more,2020,burdened,Pinellas County,32794
Not computed,2020,not_computed,Pinellas County,7367
Total,2021,,Pinellas County,124129
Less than 10.0 percent,2021,not_burdened,Pinellas County,2632
10.0 to 14.9 percent,2021,not_burdened,Pinellas County,5287
15.0 to 19.9 percent,2021,not_burdened,Pinellas County,10973
20.0 to 24.9 percent,2021,not_burdened,Pinellas County,14205
25.0 to 29.9 percent,2021,not_burdened,Pinellas County,16135
30.0 to 34.9 percent,2021,burdened,Pinellas County,13705
35.0 to 39.9 percent,2021,burdened,Pinellas County,10007
40.0 to 49.9 percent,2021,burdened,Pinellas County,12416
50.0 percent or more,2021,burdened,Pinellas County,31299
Not computed,2021,not_computed,Pinellas County,7470
Total,2022,,Pinellas County,134997
Less than 10.0 percent,2022,not_burdened,Pinellas County,3898
10.0 to 14.9 percent,2022,not_burdened,Pinellas County,7493
15.0 to 19.9 percent,2022,not_burdened,Pinellas County,12169
20.0 to 24.9 percent,2022,not_burdened,Pinellas County,13499
25.0 to 29.9 percent,2022,not_burdened,Pinellas County,12198
30.0 to 34.9 percent,2022,burdened,Pinellas County,12857
35.0 to 39.9 percent,2022,burdened,Pinellas County,9073
40.0 to 49.9 percent,2022,burdened,Pinellas County,14370
50.0 percent or more,2022,burdened,Pinellas County,39951
Not computed,2022,not_computed,Pinellas County,9489
Total,2023,,Pinellas County,135386
Less than 10.0 percent,2023,not_burdened,Pinellas County,1988
10.0 to 14.9 percent,2023,not_burdened,Pinellas County,7376
15.0 to 19.9 percent,2023,not_burdened,Pinellas County,11213
20.0 to 24.9 percent,2023,not_burdened,Pinellas County,11662
25.0 to 29.9 percent,2023,not_burdened,Pinellas County,14101
30.0 to 34.9 percent,2023,burdened,Pinellas County,13119
35.0 to 39.9 percent,2023,burdened,Pinellas County,11287
40.0 to 49.9 percent,2023,burdened,Pinellas County,15160
50.0 percent or more,2023,burdened,Pinellas County,42529
Not computed,2023,not_computed,Pinellas County,6951
Total,2024,,Pinellas County,131242
Less than 10.0 percent,2024,not_burdened,Pinellas County,2727
10.0 to 14.9 percent,2024,not_burdened,Pinellas County,6795
15.0 to 19.9 percent,2024,not_burdened,Pinellas County,10980
20.0 to 24.9 percent,2024,not_burdened,Pinellas County,14551
25.0 to 29.9 percent,2024,not_burdened,Pinellas County,12450
30.0 to 34.9 percent,2024,burdened,Pinellas County,11808
35.0 to 39.9 percent,2024,burdened,Pinellas County,11358
40.0 to 49.9 percent,2024,burdened,Pinellas County,17443
50.0 percent or more,2024,burdened,Pinellas County,35934
Not computed,2024,not_computed,Pinellas County,7196
Total,2014,,Polk County,68672
Less than 10.0 percent,2014,not_burdened,Polk County,1577
10.0 to 14.9 percent,2014,not_burdened,Polk County,4058
15.0 to 19.9 percent,2014,not_burdened,Polk County,9253
20.0 to 24.9 percent,2014,not_burdened,Polk County,6117
25.0 to 29.9 percent,2014,not_burdened,Polk County,6559
30.0 to 34.9 percent,2014,burdened,Polk County,7137
35.0 to 39.9 percent,2014,burdened,Polk County,4310
40.0 to 49.9 percent,2014,burdened,Polk County,5530
50.0 percent or more,2014,burdened,Polk County,17850
Not computed,2014,not_computed,Polk County,6281
Total,2015,,Polk County,74703
Less than 10.0 percent,2015,not_burdened,Polk County,1826
10.0 to 14.9 percent,2015,not_burdened,Polk County,5521
15.0 to 19.9 percent,2015,not_burdened,Polk County,7322
20.0 to 24.9 percent,2015,not_burdened,Polk County,8993
25.0 to 29.9 percent,2015,not_burdened,Polk County,7755
30.0 to 34.9 percent,2015,burdened,Polk County,7407
35.0 to 39.9 percent,2015,burdened,Polk County,4680
40.0 to 49.9 percent,2015,burdened,Polk County,7329
50.0 percent or more,2015,burdened,Polk County,17543
Not computed,2015,not_computed,Polk County,6327
Total,2016,,Polk County,72676
Less than 10.0 percent,2016,not_burdened,Polk County,2753
10.0 to 14.9 percent,2016,not_burdened,Polk County,4667
15.0 to 19.9 percent,2016,not_burdened,Polk County,9644
20.0 to 24.9 percent,2016,not_burdened,Polk County,10126
25.0 to 29.9 percent,2016,not_burdened,Polk County,8441
30.0 to 34.9 percent,2016,burdened,Polk County,5272
35.0 to 39.9 percent,2016,burdened,Polk County,4169
40.0 to 49.9 percent,2016,burdened,Polk County,5586
50.0 percent or more,2016,burdened,Polk County,16640
Not computed,2016,not_computed,Polk County,5378
Total,2017,,Polk County,75098
Less than 10.0 percent,2017,not_burdened,Polk County,1257
10.0 to 14.9 percent,2017,not_burdened,Polk County,5711
15.0 to 19.9 percent,2017,not_burdened,Polk County,8341
20.0 to 24.9 percent,2017,not_burdened,Polk County,8388
25.0 to 29.9 percent,2017,not_burdened,Polk County,10954
30.0 to 34.9 percent,2017,burdened,Polk County,5700
35.0 to 39.9 percent,2017,burdened,Polk County,5369
40.0 to 49.9 percent,2017,burdened,Polk County,6837
50.0 percent or more,2017,burdened,Polk County,17172
Not computed,2017,not_computed,Polk County,5369
Total,2018,,Polk County,73224
Less than 10.0 percent,2018,not_burdened,Polk County,1950
10.0 to 14.9 percent,2018,not_burdened,Polk County,5446
15.0 to 19.9 percent,2018,not_burdened,Polk County,10318
20.0 to 24.9 percent,2018,not_burdened,Polk County,9327
25.0 to 29.9 percent,2018,not_burdened,Polk County,9291
30.0 to 34.9 percent,2018,burdened,Polk County,6767
35.0 to 39.9 percent,2018,burdened,Polk County,4788
40.0 to 49.9 percent,2018,burdened,Polk County,5687
50.0 percent or more,2018,burdened,Polk County,13912
Not computed,2018,not_computed,Polk County,5738
Total,2019,,Polk County,73140
Less than 10.0 percent,2019,not_burdened,Polk County,2620
10.0 to 14.9 percent,2019,not_burdened,Polk County,5865
15.0 to 19.9 percent,2019,not_burdened,Polk County,7878
20.0 to 24.9 percent,2019,not_burdened,Polk County,8324
25.0 to 29.9 percent,2019,not_burdened,Polk County,7560
30.0 to 34.9 percent,2019,burdened,Polk County,6057
35.0 to 39.9 percent,2019,burdened,Polk County,5454
40.0 to 49.9 percent,2019,burdened,Polk County,4998
50.0 percent or more,2019,burdened,Polk County,17888
Not computed,2019,not_computed,Polk County,6496
Total,2020,,Polk County,73584
Less than 10.0 percent,2020,not_burdened,Polk County,2051
10.0 to 14.9 percent,2020,not_burdened,Polk County,5356
15.0 to 19.9 percent,2020,not_burdened,Polk County,8432
20.0 to 24.9 percent,2020,not_burdened,Polk County,8774
25.0 to 29.9 percent,2020,not_burdened,Polk County,9001
30.0 to 34.9 percent,2020,burdened,Polk County,5880
35.0 to 39.9 percent,2020,burdened,Polk County,4956
40.0 to 49.9 percent,2020,burdened,Polk County,6500
50.0 percent or more,2020,burdened,Polk County,16662
Not computed,2020,not_computed,Polk County,5972
Total,2021,,Polk County,84838
Less than 10.0 percent,2021,not_burdened,Polk County,1817
10.0 to 14.9 percent,2021,not_burdened,Polk County,8987
15.0 to 19.9 percent,2021,not_burdened,Polk County,9187
20.0 to 24.9 percent,2021,not_burdened,Polk County,8922
25.0 to 29.9 percent,2021,not_burdened,Polk County,8471
30.0 to 34.9 percent,2021,burdened,Polk County,7798
35.0 to 39.9 percent,2021,burdened,Polk County,4964
40.0 to 49.9 percent,2021,burdened,Polk County,6242
50.0 percent or more,2021,burdened,Polk County,21078
Not computed,2021,not_computed,Polk County,7372
Total,2022,,Polk County,85019
Less than 10.0 percent,2022,not_burdened,Polk County,1650
10.0 to 14.9 percent,2022,not_burdened,Polk County,5279
15.0 to 19.9 percent,2022,not_burdened,Polk County,8384
20.0 to 24.9 percent,2022,not_burdened,Polk County,8354
25.0 to 29.9 percent,2022,not_burdened,Polk County,9693
30.0 to 34.9 percent,2022,burdened,Polk County,7279
35.0 to 39.9 percent,2022,burdened,Polk County,5648
40.0 to 49.9 percent,2022,burdened,Polk County,8830
50.0 percent or more,2022,burdened,Polk County,20847
Not computed,2022,not_computed,Polk County,9055
Total,2023,,Polk County,87860
Less than 10.0 percent,2023,not_burdened,Polk County,1917
10.0 to 14.9 percent,2023,not_burdened,Polk County,3275
15.0 to 19.9 percent,2023,not_burdened,Polk County,8438
20.0 to 24.9 percent,2023,not_burdened,Polk County,9473
25.0 to 29.9 percent,2023,not_burdened,Polk County,9892
30.0 to 34.9 percent,2023,burdened,Polk County,10342
35.0 to 39.9 percent,2023,burdened,Polk County,6309
40.0 to 49.9 percent,2023,burdened,Polk County,9224
50.0 percent or more,2023,burdened,Polk County,22893
Not computed,2023,not_computed,Polk County,6097
Total,2024,,Polk County,87285
Less than 10.0 percent,2024,not_burdened,Polk County,2278
10.0 to 14.9 percent,2024,not_burdened,Polk County,6228
15.0 to 19.9 percent,2024,not_burdened,Polk County,8929
20.0 to 24.9 percent,2024,not_burdened,Polk County,11520
25.0 to 29.9 percent,2024,not_burdened,Polk County,8580
30.0 to 34.9 percent,2024,burdened,Polk County,8240
35.0 to 39.9 percent,2024,burdened,Polk County,7897
40.0 to 49.9 percent,2024,burdened,Polk County,7323
50.0 percent or more,2024,burdened,Polk County,22667
Not computed,2024,not_computed,Polk County,3623
